"loan_id","customer_id","funded_amount","term_months","int_rate","fico_score","dti","purpose","home_ownership","issue_date","risk_tier","loan_status"
"LN105628","CUST213991",15000,60,"14.83",716,"0.44","Credit Card Refinance","MORTGAGE","2024-05-13","Medium Risk","Fully Paid"
"LN105629","CUST211704",5000,36,"14.66",662,"0.15","Debt Consolidation","OWN","2025-05-23","Medium Risk","Fully Paid"
"LN105630","CUST200569",35000,60,"15.38",711,"0.15","Debt Consolidation","OWN","2023-03-28","Medium Risk","Fully Paid"
"LN105631","CUST208227",15000,36,"14.02",680,"0.37","Credit Card Refinance","OWN","2023-05-01","Medium Risk","Fully Paid"
"LN105632","CUST209359",5000,36,"15.96",671,"0.32","Home Improvement","MORTGAGE","2025-12-23","Medium Risk","Fully Paid"
"LN105633","CUST214754",5000,36,"15.31",676,"0.40","Debt Consolidation","MORTGAGE","2024-11-02","Medium Risk","Fully Paid"
"LN105634","CUST208468",5000,36,"16.40",662,"0.33","Debt Consolidation","MORTGAGE","2025-12-31","Medium Risk","Fully Paid"
"LN105635","CUST213115",5000,60,"16.32",657,"0.34","Debt Consolidation","MORTGAGE","2023-07-26","High Risk","Fully Paid"
"LN105636","CUST209364",15000,60,"17.04",624,"0.32","Debt Consolidation","MORTGAGE","2025-10-25","High Risk","Fully Paid"
"LN105637","CUST211101",35000,36,"13.79",704,"0.30","Major Purchase","MORTGAGE","2023-09-09","Medium Risk","Fully Paid"
"LN105638","CUST210163",5000,36,"14.78",742,"0.38","Debt Consolidation","MORTGAGE","2023-03-29","Low Risk","Fully Paid"
"LN105639","CUST202416",5000,36,"16.58",654,"0.14","Home Improvement","MORTGAGE","2024-08-03","High Risk","Fully Paid"
"LN105640","CUST201971",15000,60,"14.13",773,"0.29","Debt Consolidation","RENT","2024-11-02","Low Risk","Default"
"LN105641","CUST212406",35000,36,"15.01",698,"0.25","Debt Consolidation","RENT","2023-05-05","Medium Risk","Fully Paid"
"LN105642","CUST207358",10000,36,"14.93",692,"0.24","Small Business","RENT","2023-10-05","Medium Risk","Fully Paid"
"LN105643","CUST202833",10000,36,"13.18",712,"0.38","Debt Consolidation","MORTGAGE","2024-09-05","Medium Risk","Fully Paid"
"LN105644","CUST202739",15000,36,"13.31",728,"0.40","Debt Consolidation","MORTGAGE","2024-03-10","Low Risk","Fully Paid"
"LN105645","CUST203472",10000,36,"15.37",657,"0.39","Debt Consolidation","MORTGAGE","2025-08-02","High Risk","Fully Paid"
"LN105646","CUST213246",5000,36,"16.27",707,"0.40","Small Business","RENT","2024-02-28","Medium Risk","Fully Paid"
"LN105647","CUST203158",20000,36,"12.33",732,"0.33","Debt Consolidation","OWN","2025-03-31","Low Risk","Fully Paid"
"LN105648","CUST202068",20000,36,"13.97",661,"0.13","Debt Consolidation","OWN","2023-05-23","Medium Risk","Fully Paid"
"LN105649","CUST200700",15000,36,"15.39",680,"0.27","Home Improvement","RENT","2024-12-03","Medium Risk","Fully Paid"
"LN105650","CUST206937",20000,36,"15.33",641,"0.35","Debt Consolidation","MORTGAGE","2025-12-23","High Risk","Fully Paid"
"LN105651","CUST201284",20000,36,"15.55",655,"0.32","Credit Card Refinance","RENT","2025-10-13","High Risk","Fully Paid"
"LN105652","CUST211193",10000,36,"15.29",662,"0.41","Debt Consolidation","RENT","2024-02-26","Medium Risk","Fully Paid"
"LN105653","CUST207134",10000,36,"15.70",634,"0.34","Major Purchase","RENT","2025-02-15","High Risk","Fully Paid"
"LN105654","CUST203309",5000,36,"14.46",676,"0.31","Small Business","MORTGAGE","2025-04-03","Medium Risk","Fully Paid"
"LN105655","CUST213477",5000,36,"13.70",696,"0.20","Home Improvement","MORTGAGE","2023-10-14","Medium Risk","Fully Paid"
"LN105656","CUST210277",20000,36,"14.42",701,"0.26","Credit Card Refinance","RENT","2025-06-19","Medium Risk","Fully Paid"
"LN105657","CUST202423",35000,36,"14.33",639,"0.42","Credit Card Refinance","RENT","2023-06-11","High Risk","Fully Paid"
"LN105658","CUST213667",50000,36,"17.18",649,"0.26","Debt Consolidation","MORTGAGE","2024-03-20","High Risk","Fully Paid"
"LN105659","CUST209750",20000,36,"13.12",722,"0.40","Debt Consolidation","MORTGAGE","2024-12-15","Low Risk","Fully Paid"
"LN105660","CUST204226",5000,60,"16.95",649,"0.09","Credit Card Refinance","RENT","2025-11-09","High Risk","Fully Paid"
"LN105661","CUST205239",5000,36,"13.49",721,"0.20","Credit Card Refinance","MORTGAGE","2025-04-01","Low Risk","Fully Paid"
"LN105662","CUST214923",35000,60,"17.98",643,"0.11","Debt Consolidation","RENT","2024-05-17","High Risk","Fully Paid"
"LN105663","CUST211913",15000,60,"15.11",698,"0.05","Credit Card Refinance","MORTGAGE","2024-03-04","Medium Risk","Fully Paid"
"LN105664","CUST214978",20000,36,"12.96",717,"0.08","Credit Card Refinance","MORTGAGE","2024-12-24","Medium Risk","Fully Paid"
"LN105665","CUST213228",35000,60,"22.57",547,"0.28","Debt Consolidation","MORTGAGE","2024-05-10","High Risk","Fully Paid"
"LN105666","CUST201098",20000,36,"13.80",723,"0.47","Debt Consolidation","RENT","2023-05-04","Low Risk","Default"
"LN105667","CUST201426",35000,36,"13.04",745,"0.11","Credit Card Refinance","MORTGAGE","2023-01-15","Low Risk","Fully Paid"
"LN105668","CUST206359",5000,36,"15.17",664,"0.30","Debt Consolidation","RENT","2024-11-14","Medium Risk","Fully Paid"
"LN105669","CUST209116",20000,36,"15.67",697,"0.27","Credit Card Refinance","MORTGAGE","2024-10-20","Medium Risk","Fully Paid"
"LN105670","CUST206511",35000,36,"14.37",638,"0.31","Home Improvement","RENT","2025-05-31","High Risk","Fully Paid"
"LN105671","CUST209045",10000,36,"15.25",698,"0.27","Home Improvement","MORTGAGE","2023-07-05","Medium Risk","Fully Paid"
"LN105672","CUST205344",20000,36,"9.90",803,"0.22","Debt Consolidation","RENT","2025-01-21","Low Risk","Fully Paid"
"LN105673","CUST214035",10000,36,"18.14",570,"0.05","Debt Consolidation","MORTGAGE","2024-08-20","High Risk","Fully Paid"
"LN105674","CUST204526",50000,36,"17.84",654,"0.37","Credit Card Refinance","MORTGAGE","2025-07-11","High Risk","Fully Paid"
"LN105675","CUST208515",5000,36,"13.69",719,"0.42","Debt Consolidation","RENT","2024-05-19","Medium Risk","Fully Paid"
"LN105676","CUST207507",15000,60,"15.26",743,"0.30","Small Business","MORTGAGE","2023-06-26","Low Risk","Fully Paid"
"LN105677","CUST214311",5000,36,"14.75",610,"0.31","Credit Card Refinance","MORTGAGE","2024-11-15","High Risk","Default"
"LN105678","CUST200203",20000,36,"15.37",648,"0.14","Debt Consolidation","MORTGAGE","2025-03-01","High Risk","Fully Paid"
"LN105679","CUST212887",5000,36,"14.41",650,"0.24","Debt Consolidation","RENT","2025-02-08","High Risk","Fully Paid"
"LN105680","CUST211476",10000,60,"19.19",647,"0.36","Major Purchase","MORTGAGE","2024-05-05","High Risk","Fully Paid"
"LN105681","CUST210209",15000,36,"15.04",674,"0.18","Major Purchase","RENT","2025-09-25","Medium Risk","Fully Paid"
"LN105682","CUST209627",50000,60,"16.32",608,"0.29","Debt Consolidation","MORTGAGE","2024-01-16","High Risk","Fully Paid"
"LN105683","CUST208562",10000,36,"15.44",667,"0.56","Debt Consolidation","MORTGAGE","2025-01-01","Medium Risk","Fully Paid"
"LN105684","CUST212808",5000,36,"16.69",633,"0.33","Debt Consolidation","MORTGAGE","2024-12-11","High Risk","Fully Paid"
"LN105685","CUST206875",35000,60,"15.04",676,"0.16","Debt Consolidation","MORTGAGE","2023-08-25","Medium Risk","Fully Paid"
"LN105686","CUST201844",15000,60,"14.61",644,"0.63","Debt Consolidation","RENT","2023-07-27","High Risk","Default"
"LN105687","CUST206791",50000,36,"17.75",671,"0.34","Debt Consolidation","RENT","2025-02-16","Medium Risk","Fully Paid"
"LN105688","CUST202452",5000,36,"18.43",628,"0.20","Home Improvement","RENT","2024-08-17","High Risk","Fully Paid"
"LN105689","CUST202429",20000,60,"14.82",727,"0.29","Credit Card Refinance","RENT","2024-05-19","Low Risk","Fully Paid"
"LN105690","CUST209284",10000,36,"16.34",663,"0.10","Debt Consolidation","RENT","2025-03-15","Medium Risk","Default"
"LN105691","CUST209633",5000,36,"15.82",680,"0.20","Major Purchase","OWN","2023-03-29","Medium Risk","Fully Paid"
"LN105692","CUST209547",20000,36,"15.02",672,"0.40","Debt Consolidation","RENT","2023-10-02","Medium Risk","Fully Paid"
"LN105693","CUST212426",15000,36,"14.65",680,"0.15","Small Business","MORTGAGE","2025-11-06","Medium Risk","Fully Paid"
"LN105694","CUST201642",35000,60,"17.89",680,"0.13","Major Purchase","MORTGAGE","2024-05-06","Medium Risk","Fully Paid"
"LN105695","CUST201731",10000,36,"15.44",720,"0.41","Debt Consolidation","RENT","2025-08-23","Low Risk","Fully Paid"
"LN105696","CUST209220",15000,60,"13.88",665,"0.56","Major Purchase","MORTGAGE","2025-09-22","Medium Risk","Fully Paid"
"LN105697","CUST212773",15000,36,"15.72",644,"0.37","Debt Consolidation","MORTGAGE","2024-01-08","High Risk","Fully Paid"
"LN105698","CUST201655",75000,36,"16.18",682,"0.51","Debt Consolidation","MORTGAGE","2025-07-24","Medium Risk","Fully Paid"
"LN105699","CUST212874",10000,36,"16.83",649,"0.16","Credit Card Refinance","MORTGAGE","2023-02-27","High Risk","Fully Paid"
"LN105700","CUST204688",10000,60,"16.39",676,"0.36","Debt Consolidation","MORTGAGE","2023-11-21","Medium Risk","Fully Paid"
"LN105701","CUST214213",10000,60,"14.60",627,"0.44","Debt Consolidation","RENT","2025-05-13","High Risk","Fully Paid"
"LN105702","CUST208776",15000,60,"14.68",732,"0.24","Home Improvement","MORTGAGE","2025-02-13","Low Risk","Fully Paid"
"LN105703","CUST214421",10000,36,"18.17",640,"0.19","Home Improvement","RENT","2025-04-19","High Risk","Fully Paid"
"LN105704","CUST205634",50000,60,"11.77",739,"0.29","Major Purchase","RENT","2023-01-10","Low Risk","Fully Paid"
"LN105705","CUST214384",10000,60,"18.21",676,"0.34","Debt Consolidation","RENT","2024-12-03","Medium Risk","Fully Paid"
"LN105706","CUST206733",35000,36,"14.95",722,"0.27","Credit Card Refinance","MORTGAGE","2024-05-25","Low Risk","Fully Paid"
"LN105707","CUST204328",5000,36,"16.64",641,"0.33","Debt Consolidation","RENT","2024-08-27","High Risk","Fully Paid"
"LN105708","CUST206276",20000,36,"16.55",581,"0.15","Major Purchase","RENT","2023-12-29","High Risk","Fully Paid"
"LN105709","CUST210729",50000,36,"16.62",597,"0.34","Debt Consolidation","RENT","2025-12-03","High Risk","Fully Paid"
"LN105710","CUST207956",5000,60,"11.81",805,"0.39","Major Purchase","RENT","2023-06-18","Low Risk","Fully Paid"
"LN105711","CUST209373",50000,36,"14.11",650,"0.33","Debt Consolidation","MORTGAGE","2025-02-12","High Risk","Fully Paid"
"LN105712","CUST209978",15000,36,"13.68",734,"0.21","Credit Card Refinance","RENT","2024-06-06","Low Risk","Fully Paid"
"LN105713","CUST207751",50000,36,"15.79",615,"0.11","Debt Consolidation","RENT","2024-06-09","High Risk","Default"
"LN105714","CUST200614",20000,36,"16.32",688,"0.31","Credit Card Refinance","RENT","2023-05-21","Medium Risk","Fully Paid"
"LN105715","CUST202822",10000,60,"10.51",697,"0.23","Debt Consolidation","RENT","2025-04-24","Medium Risk","Fully Paid"
"LN105716","CUST204513",5000,36,"11.60",821,"0.49","Home Improvement","OWN","2023-06-06","Low Risk","Fully Paid"
"LN105717","CUST206603",10000,36,"14.45",664,"0.47","Debt Consolidation","MORTGAGE","2023-03-13","Medium Risk","Fully Paid"
"LN105718","CUST202357",5000,60,"16.40",644,"0.08","Debt Consolidation","MORTGAGE","2023-08-03","High Risk","Fully Paid"
"LN105719","CUST210130",5000,60,"18.61",697,"0.27","Debt Consolidation","MORTGAGE","2025-08-03","Medium Risk","Default"
"LN105720","CUST209973",5000,36,"19.19",633,"0.21","Debt Consolidation","MORTGAGE","2024-10-24","High Risk","Fully Paid"
"LN105721","CUST211155",15000,36,"14.26",700,"0.16","Debt Consolidation","MORTGAGE","2024-02-24","Medium Risk","Fully Paid"
"LN105722","CUST211365",35000,36,"15.30",677,"0.28","Credit Card Refinance","MORTGAGE","2024-11-16","Medium Risk","Fully Paid"
"LN105723","CUST206582",5000,60,"15.19",642,"0.21","Debt Consolidation","MORTGAGE","2026-01-01","High Risk","Default"
"LN105724","CUST200636",5000,60,"14.67",704,"0.19","Debt Consolidation","MORTGAGE","2024-09-05","Medium Risk","Fully Paid"
"LN105725","CUST206485",20000,36,"16.48",685,"0.18","Small Business","MORTGAGE","2025-04-18","Medium Risk","Fully Paid"
"LN105726","CUST214575",5000,36,"12.58",718,"0.46","Credit Card Refinance","MORTGAGE","2024-06-27","Medium Risk","Fully Paid"
"LN105727","CUST214401",5000,36,"15.80",762,"0.28","Credit Card Refinance","MORTGAGE","2023-03-29","Low Risk","Fully Paid"
"LN105728","CUST205432",5000,36,"17.52",654,"0.29","Credit Card Refinance","MORTGAGE","2025-02-03","High Risk","Default"
"LN105729","CUST211314",50000,36,"17.33",659,"0.45","Credit Card Refinance","MORTGAGE","2023-09-12","High Risk","Fully Paid"
"LN105730","CUST203893",35000,36,"17.77",612,"0.26","Credit Card Refinance","OWN","2023-03-18","High Risk","Fully Paid"
"LN105731","CUST200808",10000,36,"13.49",706,"0.34","Credit Card Refinance","MORTGAGE","2024-01-22","Medium Risk","Fully Paid"
"LN105732","CUST212219",20000,60,"17.84",647,"0.21","Debt Consolidation","MORTGAGE","2023-01-03","High Risk","Fully Paid"
"LN105733","CUST207786",15000,36,"14.60",697,"0.24","Home Improvement","RENT","2023-10-05","Medium Risk","Fully Paid"
"LN105734","CUST204401",20000,60,"11.52",738,"0.31","Credit Card Refinance","MORTGAGE","2025-10-01","Low Risk","Fully Paid"
"LN105735","CUST214697",20000,36,"16.49",645,"0.32","Home Improvement","MORTGAGE","2024-03-14","High Risk","Fully Paid"
"LN105736","CUST206103",20000,60,"14.36",656,"0.39","Debt Consolidation","RENT","2023-01-17","High Risk","Default"
"LN105737","CUST200332",10000,36,"13.34",730,"0.43","Credit Card Refinance","RENT","2024-06-24","Low Risk","Fully Paid"
"LN105738","CUST205536",5000,36,"15.69",715,"0.29","Home Improvement","RENT","2023-10-20","Medium Risk","Fully Paid"
"LN105739","CUST213393",15000,36,"14.57",710,"0.43","Debt Consolidation","RENT","2025-09-23","Medium Risk","Fully Paid"
"LN105740","CUST213004",35000,36,"15.94",660,"0.20","Home Improvement","RENT","2025-05-09","Medium Risk","Fully Paid"
"LN105741","CUST204966",15000,60,"19.05",608,"0.38","Home Improvement","RENT","2024-03-03","High Risk","Fully Paid"
"LN105742","CUST205095",35000,36,"13.02",644,"0.21","Credit Card Refinance","MORTGAGE","2025-05-14","High Risk","Fully Paid"
"LN105743","CUST204594",75000,36,"18.46",629,"0.22","Debt Consolidation","MORTGAGE","2023-10-03","High Risk","Fully Paid"
"LN105744","CUST213810",5000,36,"15.00",709,"0.42","Major Purchase","MORTGAGE","2025-11-08","Medium Risk","Fully Paid"
"LN105745","CUST208055",20000,60,"15.05",694,"0.05","Debt Consolidation","MORTGAGE","2023-07-29","Medium Risk","Fully Paid"
"LN105746","CUST214062",20000,36,"16.19",650,"0.38","Small Business","MORTGAGE","2024-06-23","High Risk","Fully Paid"
"LN105747","CUST211407",75000,36,"17.01",658,"0.32","Major Purchase","MORTGAGE","2024-06-14","High Risk","Fully Paid"
"LN105748","CUST211221",75000,60,"16.46",703,"0.32","Debt Consolidation","MORTGAGE","2024-07-08","Medium Risk","Fully Paid"
"LN105749","CUST201610",20000,36,"15.55",664,"0.49","Debt Consolidation","MORTGAGE","2025-07-17","Medium Risk","Fully Paid"
"LN105750","CUST214237",10000,36,"16.05",650,"0.17","Debt Consolidation","MORTGAGE","2023-08-26","High Risk","Fully Paid"
"LN105751","CUST203735",35000,36,"13.96",778,"0.16","Debt Consolidation","OWN","2025-12-19","Low Risk","Fully Paid"
"LN105752","CUST202202",5000,36,"13.05",652,"0.43","Debt Consolidation","OWN","2024-04-15","High Risk","Fully Paid"
"LN105753","CUST204924",35000,36,"14.53",713,"0.27","Major Purchase","MORTGAGE","2024-10-11","Medium Risk","Fully Paid"
"LN105754","CUST212186",50000,36,"15.77",699,"0.45","Debt Consolidation","MORTGAGE","2024-03-08","Medium Risk","Fully Paid"
"LN105755","CUST207260",10000,60,"16.69",603,"0.38","Debt Consolidation","RENT","2023-02-14","High Risk","Fully Paid"
"LN105756","CUST212682",20000,60,"15.15",646,"0.34","Debt Consolidation","RENT","2025-04-23","High Risk","Fully Paid"
"LN105757","CUST213531",15000,60,"14.27",720,"0.28","Debt Consolidation","RENT","2023-04-02","Low Risk","Fully Paid"
"LN105758","CUST205258",15000,36,"14.80",673,"0.27","Debt Consolidation","RENT","2025-05-06","Medium Risk","Fully Paid"
"LN105759","CUST204415",10000,36,"16.98",606,"0.54","Debt Consolidation","RENT","2025-10-11","High Risk","Fully Paid"
"LN105760","CUST211941",35000,60,"14.32",699,"0.23","Debt Consolidation","OWN","2025-04-03","Medium Risk","Fully Paid"
"LN105761","CUST206829",50000,36,"18.59",650,"0.42","Credit Card Refinance","RENT","2024-06-16","High Risk","Default"
"LN105762","CUST209912",50000,60,"13.27",701,"0.19","Credit Card Refinance","MORTGAGE","2023-01-08","Medium Risk","Fully Paid"
"LN105763","CUST210577",5000,36,"13.40",814,"0.19","Small Business","MORTGAGE","2023-12-22","Low Risk","Fully Paid"
"LN105764","CUST201463",35000,60,"14.14",699,"0.32","Small Business","MORTGAGE","2023-12-21","Medium Risk","Fully Paid"
"LN105765","CUST203080",20000,60,"15.24",710,"0.28","Credit Card Refinance","RENT","2025-11-01","Medium Risk","Fully Paid"
"LN105766","CUST207238",10000,36,"16.80",667,"0.42","Credit Card Refinance","OWN","2026-01-03","Medium Risk","Fully Paid"
"LN105767","CUST203464",5000,36,"19.20",624,"0.27","Debt Consolidation","RENT","2024-07-23","High Risk","Fully Paid"
"LN105768","CUST214966",10000,36,"14.81",731,"0.24","Credit Card Refinance","MORTGAGE","2025-11-08","Low Risk","Fully Paid"
"LN105769","CUST213500",50000,36,"15.68",649,"0.15","Debt Consolidation","MORTGAGE","2025-07-19","High Risk","Fully Paid"
"LN105770","CUST206672",20000,36,"15.90",668,"0.58","Debt Consolidation","RENT","2024-07-06","Medium Risk","Default"
"LN105771","CUST212140",20000,36,"16.15",769,"0.12","Credit Card Refinance","MORTGAGE","2024-10-17","Low Risk","Default"
"LN105772","CUST207938",10000,36,"16.17",663,"0.65","Credit Card Refinance","OWN","2024-12-19","Medium Risk","Fully Paid"
"LN105773","CUST212444",20000,36,"12.04",740,"0.38","Home Improvement","MORTGAGE","2023-08-18","Low Risk","Fully Paid"
"LN105774","CUST208463",5000,36,"14.45",699,"0.35","Major Purchase","MORTGAGE","2024-04-30","Medium Risk","Fully Paid"
"LN105775","CUST214209",10000,36,"15.59",652,"0.12","Debt Consolidation","RENT","2024-11-04","High Risk","Fully Paid"
"LN105776","CUST206127",20000,36,"16.17",697,"0.37","Credit Card Refinance","RENT","2025-07-18","Medium Risk","Fully Paid"
"LN105777","CUST213452",5000,60,"14.57",644,"0.11","Credit Card Refinance","MORTGAGE","2023-10-06","High Risk","Fully Paid"
"LN105778","CUST200921",35000,60,"13.61",725,"0.28","Debt Consolidation","RENT","2025-10-02","Low Risk","Fully Paid"
"LN105779","CUST208443",10000,36,"14.27",742,"0.43","Debt Consolidation","MORTGAGE","2023-09-10","Low Risk","Fully Paid"
"LN105780","CUST212968",20000,36,"15.03",682,"0.13","Credit Card Refinance","MORTGAGE","2025-07-17","Medium Risk","Fully Paid"
"LN105781","CUST202605",15000,60,"13.96",747,"0.38","Home Improvement","MORTGAGE","2024-06-28","Low Risk","Fully Paid"
"LN105782","CUST201076",15000,36,"15.52",688,"0.26","Debt Consolidation","MORTGAGE","2024-02-07","Medium Risk","Fully Paid"
"LN105783","CUST205098",5000,36,"14.70",725,"0.37","Credit Card Refinance","MORTGAGE","2023-02-13","Low Risk","Fully Paid"
"LN105784","CUST211626",5000,36,"10.43",827,"0.14","Debt Consolidation","RENT","2025-05-20","Low Risk","Fully Paid"
"LN105785","CUST208304",50000,36,"13.62",803,"0.46","Debt Consolidation","OWN","2023-09-03","Low Risk","Default"
"LN105786","CUST206610",10000,36,"14.95",670,"0.38","Debt Consolidation","MORTGAGE","2023-08-05","Medium Risk","Fully Paid"
"LN105787","CUST202223",35000,60,"15.13",694,"0.20","Major Purchase","MORTGAGE","2025-02-24","Medium Risk","Fully Paid"
"LN105788","CUST212788",75000,36,"15.01",627,"0.21","Credit Card Refinance","OWN","2024-07-08","High Risk","Fully Paid"
"LN105789","CUST213948",10000,60,"14.58",719,"0.45","Credit Card Refinance","RENT","2023-03-13","Medium Risk","Fully Paid"
"LN105790","CUST208590",10000,36,"15.31",699,"0.25","Major Purchase","RENT","2024-02-20","Medium Risk","Fully Paid"
"LN105791","CUST214407",20000,60,"16.53",641,"0.20","Debt Consolidation","MORTGAGE","2024-09-16","High Risk","Fully Paid"
"LN105792","CUST209318",50000,36,"12.85",739,"0.36","Major Purchase","MORTGAGE","2024-03-02","Low Risk","Fully Paid"
"LN105793","CUST200475",50000,36,"17.54",666,"0.38","Debt Consolidation","OWN","2025-10-28","Medium Risk","Fully Paid"
"LN105794","CUST202847",15000,60,"17.05",653,"0.23","Credit Card Refinance","RENT","2025-12-06","High Risk","Fully Paid"
"LN105795","CUST203159",35000,60,"14.82",699,"0.47","Home Improvement","RENT","2023-05-14","Medium Risk","Fully Paid"
"LN105796","CUST214339",5000,36,"15.88",656,"0.30","Debt Consolidation","MORTGAGE","2025-11-04","High Risk","Fully Paid"
"LN105797","CUST213647",75000,60,"14.44",678,"0.41","Home Improvement","OWN","2025-10-07","Medium Risk","Fully Paid"
"LN105798","CUST203289",50000,36,"12.39",767,"0.41","Credit Card Refinance","RENT","2024-02-25","Low Risk","Fully Paid"
"LN105799","CUST213714",5000,60,"18.46",649,"0.14","Credit Card Refinance","RENT","2025-08-20","High Risk","Fully Paid"
"LN105800","CUST200945",10000,60,"14.14",713,"0.44","Debt Consolidation","MORTGAGE","2025-06-26","Medium Risk","Fully Paid"
"LN105801","CUST204088",5000,36,"20.40",650,"0.42","Major Purchase","MORTGAGE","2025-01-05","High Risk","Fully Paid"
"LN105802","CUST200542",10000,36,"14.99",631,"0.34","Debt Consolidation","RENT","2025-11-14","High Risk","Fully Paid"
"LN105803","CUST207479",35000,36,"16.18",675,"0.05","Debt Consolidation","RENT","2024-03-31","Medium Risk","Fully Paid"
"LN105804","CUST200829",10000,60,"12.49",814,"0.33","Debt Consolidation","MORTGAGE","2024-04-24","Low Risk","Fully Paid"
"LN105805","CUST205905",5000,36,"14.58",719,"0.19","Debt Consolidation","MORTGAGE","2024-03-15","Medium Risk","Fully Paid"
"LN105806","CUST211545",10000,36,"12.54",703,"0.14","Major Purchase","RENT","2025-04-08","Medium Risk","Fully Paid"
"LN105807","CUST203263",75000,36,"14.12",653,"0.28","Debt Consolidation","RENT","2024-08-04","High Risk","Fully Paid"
"LN105808","CUST204489",20000,60,"16.29",660,"0.05","Home Improvement","RENT","2025-08-30","Medium Risk","Fully Paid"
"LN105809","CUST206036",15000,36,"15.84",605,"0.29","Debt Consolidation","MORTGAGE","2025-07-09","High Risk","Fully Paid"
"LN105810","CUST213493",5000,60,"15.09",769,"0.43","Home Improvement","RENT","2023-01-29","Low Risk","Fully Paid"
"LN105811","CUST207606",75000,60,"14.84",693,"0.37","Debt Consolidation","OWN","2024-05-29","Medium Risk","Fully Paid"
"LN105812","CUST208276",35000,36,"15.66",689,"0.44","Debt Consolidation","MORTGAGE","2023-07-13","Medium Risk","Default"
"LN105813","CUST206504",10000,36,"15.19",690,"0.26","Debt Consolidation","MORTGAGE","2024-04-21","Medium Risk","Fully Paid"
"LN105814","CUST210411",5000,60,"12.80",784,"0.35","Credit Card Refinance","MORTGAGE","2023-01-18","Low Risk","Fully Paid"
"LN105815","CUST202030",5000,36,"17.43",694,"0.17","Major Purchase","RENT","2023-01-26","Medium Risk","Fully Paid"
"LN105816","CUST211161",5000,60,"17.38",670,"0.07","Debt Consolidation","MORTGAGE","2023-08-19","Medium Risk","Fully Paid"
"LN105817","CUST200501",15000,60,"13.51",769,"0.17","Debt Consolidation","MORTGAGE","2024-12-15","Low Risk","Fully Paid"
"LN105818","CUST203964",50000,36,"16.69",673,"0.21","Credit Card Refinance","MORTGAGE","2024-01-31","Medium Risk","Fully Paid"
"LN105819","CUST206103",15000,36,"19.38",595,"0.21","Debt Consolidation","RENT","2025-11-15","High Risk","Fully Paid"
"LN105820","CUST208009",35000,36,"16.53",603,"0.45","Home Improvement","OWN","2025-05-08","High Risk","Fully Paid"
"LN105821","CUST209733",15000,36,"13.42",670,"0.28","Debt Consolidation","MORTGAGE","2023-02-17","Medium Risk","Fully Paid"
"LN105822","CUST207309",20000,36,"15.98",694,"0.56","Major Purchase","RENT","2024-01-17","Medium Risk","Default"
"LN105823","CUST202910",20000,36,"16.34",721,"0.48","Major Purchase","MORTGAGE","2023-09-19","Low Risk","Fully Paid"
"LN105824","CUST214262",5000,36,"14.08",634,"0.18","Home Improvement","MORTGAGE","2025-03-21","High Risk","Fully Paid"
"LN105825","CUST207776",10000,36,"14.89",668,"0.42","Debt Consolidation","RENT","2023-09-30","Medium Risk","Fully Paid"
"LN105826","CUST209616",20000,36,"16.16",639,"0.43","Debt Consolidation","MORTGAGE","2024-12-15","High Risk","Fully Paid"
"LN105827","CUST209034",5000,60,"12.65",735,"0.26","Debt Consolidation","MORTGAGE","2024-06-25","Low Risk","Fully Paid"
"LN105828","CUST205731",10000,36,"13.68",744,"0.30","Home Improvement","RENT","2023-12-08","Low Risk","Fully Paid"
"LN105829","CUST205641",15000,36,"11.40",777,"0.22","Home Improvement","MORTGAGE","2023-03-22","Low Risk","Fully Paid"
"LN105830","CUST202680",75000,60,"14.60",697,"0.59","Major Purchase","RENT","2024-06-20","Medium Risk","Fully Paid"
"LN105831","CUST213725",15000,36,"14.22",773,"0.49","Debt Consolidation","MORTGAGE","2023-05-19","Low Risk","Fully Paid"
"LN105832","CUST214656",35000,60,"13.27",645,"0.27","Debt Consolidation","MORTGAGE","2023-12-15","High Risk","Fully Paid"
"LN105833","CUST204238",15000,36,"13.67",690,"0.49","Major Purchase","MORTGAGE","2024-04-21","Medium Risk","Fully Paid"
"LN105834","CUST212271",35000,60,"18.95",626,"0.25","Debt Consolidation","MORTGAGE","2023-06-24","High Risk","Fully Paid"
"LN105835","CUST213613",15000,36,"13.56",708,"0.41","Debt Consolidation","OWN","2023-03-13","Medium Risk","Fully Paid"
"LN105836","CUST211287",35000,60,"11.25",694,"0.33","Credit Card Refinance","MORTGAGE","2024-12-30","Medium Risk","Fully Paid"
"LN105837","CUST201481",15000,60,"18.83",557,"0.29","Debt Consolidation","RENT","2025-07-11","High Risk","Fully Paid"
"LN105838","CUST204671",20000,36,"14.01",735,"0.18","Debt Consolidation","OWN","2025-08-03","Low Risk","Fully Paid"
"LN105839","CUST200450",20000,36,"14.67",722,"0.23","Small Business","MORTGAGE","2023-10-02","Low Risk","Fully Paid"
"LN105840","CUST206334",15000,60,"16.29",652,"0.37","Credit Card Refinance","MORTGAGE","2023-01-15","High Risk","Fully Paid"
"LN105841","CUST200814",5000,36,"17.06",694,"0.31","Debt Consolidation","RENT","2024-07-03","Medium Risk","Fully Paid"
"LN105842","CUST202670",5000,60,"16.32",605,"0.26","Credit Card Refinance","MORTGAGE","2024-07-26","High Risk","Default"
"LN105843","CUST213990",5000,36,"16.33",641,"0.47","Major Purchase","RENT","2023-05-16","High Risk","Default"
